#  Energy (eV) |  DOS (states/eV)
  -41.62477602    0.0000000000
  -41.58618397    0.0000000000
  -41.54759191    0.0000000000
  -41.50899986    0.0000000000
  -41.47040781    0.0000000000
  -41.43181576    0.0000000000
  -41.39322370    0.0000000000
  -41.35463165    0.0000000000
  -41.31603960    0.0000000000
  -41.27744754    0.0000000000
  -41.23885549    0.0000000000
  -41.20026344    0.0000000000
  -41.16167139    0.0000000000
  -41.12307933    0.0000000000
  -41.08448728    0.0000000000
  -41.04589523    0.0000000000
  -41.00730317    0.0000000000
  -40.96871112    0.0000000000
  -40.93011907    0.0000000000
  -40.89152702    0.0000000000
  -40.85293496    0.0000000000
  -40.81434291    0.0000000000
  -40.77575086    0.0000000000
  -40.73715880    0.0000000000
  -40.69856675    0.0000000000
  -40.65997470    0.0000000000
  -40.62138265    0.0000000000
  -40.58279059    0.0000000000
  -40.54419854    0.0000000000
  -40.50560649    0.0000000000
  -40.46701443    0.0000000000
  -40.42842238    0.0000000000
  -40.38983033    0.0000000000
  -40.35123828    0.0000000000
  -40.31264622    0.0000000000
  -40.27405417    0.0000000000
  -40.23546212    0.0000000000
  -40.19687006    0.0000000000
  -40.15827801    0.0000000000
  -40.11968596    0.0000000000
  -40.08109390    0.0000000000
  -40.04250185    0.0000000000
  -40.00390980    0.0000000000
  -39.96531775    0.0000000000
  -39.92672569    0.0000000000
  -39.88813364    0.0000000000
  -39.84954159    0.0000000000
  -39.81094953    0.0000000000
  -39.77235748    0.0000000000
  -39.73376543    0.0000000000
  -39.69517338    0.0000000000
  -39.65658132    0.0000000000
  -39.61798927    0.0000000000
  -39.57939722    0.0000000000
  -39.54080516    0.0000000000
  -39.50221311    0.0000000000
  -39.46362106    0.0000000000
  -39.42502901    0.0000000000
  -39.38643695    0.0000000000
  -39.34784490    0.0000000000
  -39.30925285    0.0000000000
  -39.27066079    0.0000000000
  -39.23206874    0.0000000000
  -39.19347669    0.0000000000
  -39.15488464    0.0000000000
  -39.11629258    0.0000000000
  -39.07770053    0.0000000000
  -39.03910848    0.0000000000
  -39.00051642    0.0000000000
  -38.96192437    0.0000000000
  -38.92333232    0.0000000000
  -38.88474027    0.0000000000
  -38.84614821    0.0000000000
  -38.80755616    0.0000000000
  -38.76896411    0.0000000000
  -38.73037205    0.0000000000
  -38.69178000    0.0000000000
  -38.65318795    0.0000000000
  -38.61459590    0.0000000000
  -38.57600384    0.0000000000
  -38.53741179    0.0000000000
  -38.49881974    0.0000000000
  -38.46022768    0.0000000000
  -38.42163563    0.0000000000
  -38.38304358    0.0000000000
  -38.34445153    0.0000000000
  -38.30585947    0.0000000000
  -38.26726742    0.0000000000
  -38.22867537    0.0000000000
  -38.19008331    0.0000000000
  -38.15149126    0.0000000000
  -38.11289921    0.0000000000
  -38.07430716    0.0000000000
  -38.03571510    0.0000000000
  -37.99712305    0.0000000000
  -37.95853100    0.0000000000
  -37.91993894    0.0000000000
  -37.88134689    0.0000000000
  -37.84275484    0.0000000000
  -37.80416279    0.0000000000
  -37.76557073    0.0000000000
  -37.72697868    0.0000000000
  -37.68838663    0.0000000000
  -37.64979457    0.0000000000
  -37.61120252    0.0000000000
  -37.57261047    0.0000000000
  -37.53401842    0.0000000000
  -37.49542636    0.0000000000
  -37.45683431    0.0000000000
  -37.41824226    0.0000000000
  -37.37965020    0.0000000000
  -37.34105815    0.0000000000
  -37.30246610    0.0000000000
  -37.26387405    0.0000000000
  -37.22528199    0.0000000000
  -37.18668994    0.0000000000
  -37.14809789    0.0000000000
  -37.10950583    0.0000000000
  -37.07091378    0.0000000000
  -37.03232173    0.0000000000
  -36.99372968    0.0000000000
  -36.95513762    0.0000000000
  -36.91654557    0.0000000000
  -36.87795352    0.0000000000
  -36.83936146    0.0000000000
  -36.80076941    0.0000000000
  -36.76217736    0.0000000000
  -36.72358531    0.0000000000
  -36.68499325    0.0000000000
  -36.64640120    0.0000000000
  -36.60780915    0.0000000000
  -36.56921709    0.0000000000
  -36.53062504    0.0000000000
  -36.49203299    0.0000000000
  -36.45344094    0.0000000000
  -36.41484888    0.0000000000
  -36.37625683    0.0000000000
  -36.33766478    0.0000000000
  -36.29907272    0.0000000000
  -36.26048067    0.0000000000
  -36.22188862    0.0000000000
  -36.18329657    0.0000000000
  -36.14470451    0.0000000000
  -36.10611246    0.0000000000
  -36.06752041    0.0000000000
  -36.02892835    0.0000000000
  -35.99033630    0.0000000000
  -35.95174425    0.0000000000
  -35.91315220    0.0000000000
  -35.87456014    0.0000000000
  -35.83596809    0.0000000000
  -35.79737604    0.0000000000
  -35.75878398    0.0000000000
  -35.72019193    0.0000000000
  -35.68159988    0.0000000000
  -35.64300783    0.0000000000
  -35.60441577    0.0000000000
  -35.56582372    0.0000000000
  -35.52723167    0.0000000000
  -35.48863961    0.0000000000
  -35.45004756    0.0000000000
  -35.41145551    0.0000000000
  -35.37286346    0.0000000000
  -35.33427140    0.0000000000
  -35.29567935    0.0000000000
  -35.25708730    0.0000000000
  -35.21849524    0.0000000000
  -35.17990319    0.0000000000
  -35.14131114    0.0000000000
  -35.10271909    0.0000000000
  -35.06412703    0.0000000000
  -35.02553498    0.0000000000
  -34.98694293    0.0000000000
  -34.94835087    0.0000000000
  -34.90975882    0.0000000000
  -34.87116677    0.0000000000
  -34.83257472    0.0000000000
  -34.79398266    0.0000000000
  -34.75539061    0.0000000000
  -34.71679856    0.0000000000
  -34.67820650    0.0000000000
  -34.63961445    0.0000000000
  -34.60102240    0.0000000000
  -34.56243034    0.0000000000
  -34.52383829    0.0000000000
  -34.48524624    0.0000000000
  -34.44665419    0.0000000000
  -34.40806213    0.0000000000
  -34.36947008    0.0000000000
  -34.33087803    0.0000000000
  -34.29228597    0.0000000000
  -34.25369392    0.0000000000
  -34.21510187    0.0000000000
  -34.17650982    0.0000000000
  -34.13791776    0.0000000000
  -34.09932571    0.0000000000
  -34.06073366    0.0000000000
  -34.02214160    0.0000000000
  -33.98354955    0.0000000000
  -33.94495750    0.0000000000
  -33.90636545    0.0000000000
  -33.86777339    0.0000000000
  -33.82918134    0.0000000000
  -33.79058929    0.0000000000
  -33.75199723    0.0000000000
  -33.71340518    0.0000000000
  -33.67481313    0.0000000000
