#  Energy (eV) |  DOS (states/eV)
  -35.25806611    0.0000000000
  -35.21949653    0.0000000000
  -35.18092695    0.0000000000
  -35.14235737    0.0000000000
  -35.10378780    0.0000000000
  -35.06521822    0.0000000000
  -35.02664864    0.0000000000
  -34.98807906    0.0000000000
  -34.94950948    0.0000000000
  -34.91093991    0.0000000000
  -34.87237033    0.0000000000
  -34.83380075    0.0000000000
  -34.79523117    0.0000000000
  -34.75666159    0.0000000000
  -34.71809201    0.0000000000
  -34.67952244    0.0000000000
  -34.64095286    0.0000000000
  -34.60238328    0.0000000000
  -34.56381370    0.0000000000
  -34.52524412    0.0000000000
  -34.48667455    0.0000000000
  -34.44810497    0.0000000000
  -34.40953539    0.0000000000
  -34.37096581    0.0000000000
  -34.33239623    0.0000000000
  -34.29382666    0.0000000000
  -34.25525708    0.0000000000
  -34.21668750    0.0000000000
  -34.17811792    0.0000000000
  -34.13954834    0.0000000000
  -34.10097877    0.0000000000
  -34.06240919    0.0000000000
  -34.02383961    0.0000000000
  -33.98527003    0.0000000000
  -33.94670045    0.0000000000
  -33.90813088    0.0000000000
  -33.86956130    0.0000000000
  -33.83099172    0.0000000000
  -33.79242214    0.0000000000
  -33.75385256    0.0000000000
  -33.71528298    0.0000000000
  -33.67671341    0.0000000000
  -33.63814383    0.0000000000
  -33.59957425    0.0000000000
  -33.56100467    0.0000000000
  -33.52243509    0.0000000000
  -33.48386552    0.0000000000
  -33.44529594    0.0000000000
  -33.40672636    0.0000000000
  -33.36815678    0.0000000000
  -33.32958720    0.0000000000
  -33.29101763    0.0000000000
  -33.25244805    0.0000000000
  -33.21387847    0.0000000000
  -33.17530889    0.0000000000
  -33.13673931    0.0000000000
  -33.09816974    0.0000000000
  -33.05960016    0.0000000000
  -33.02103058    0.0000000000
  -32.98246100    0.0000000000
  -32.94389142    0.0000000000
  -32.90532185    0.0000000000
  -32.86675227    0.0000000000
  -32.82818269    0.0000000000
  -32.78961311    0.0000000000
  -32.75104353    0.0000000000
  -32.71247395    0.0000000000
  -32.67390438    0.0000000000
  -32.63533480    0.0000000000
  -32.59676522    0.0000000000
  -32.55819564    0.0000000000
  -32.51962606    0.0000000000
  -32.48105649    0.0000000000
  -32.44248691    0.0000000000
  -32.40391733    0.0000000000
  -32.36534775    0.0000000000
  -32.32677817    0.0000000000
  -32.28820860    0.0000000000
  -32.24963902    0.0000000000
  -32.21106944    0.0000000000
  -32.17249986    0.0000000000
  -32.13393028    0.0000000000
  -32.09536071    0.0000000000
  -32.05679113    0.0000000000
  -32.01822155    0.0000000000
  -31.97965197    0.0000000000
  -31.94108239    0.0000000000
  -31.90251282    0.0000000000
  -31.86394324    0.0000000000
  -31.82537366    0.0000000000
  -31.78680408    0.0000000000
  -31.74823450    0.0000000000
  -31.70966492    0.0000000000
  -31.67109535    0.0000000000
  -31.63252577    0.0000000000
  -31.59395619    0.0000000000
  -31.55538661    0.0000000000
  -31.51681703    0.0000000000
  -31.47824746    0.0000000000
  -31.43967788    0.0000000000
  -31.40110830    0.0000000000
  -31.36253872    0.0000000000
  -31.32396914    0.0000000000
  -31.28539957    0.0000000000
  -31.24682999    0.0000000000
  -31.20826041    0.0000000000
  -31.16969083    0.0000000000
  -31.13112125    0.0000000000
  -31.09255168    0.0000000000
  -31.05398210    0.0000000000
  -31.01541252    0.0000000000
  -30.97684294    0.0000000000
  -30.93827336    0.0000000000
  -30.89970379    0.0000000000
  -30.86113421    0.0000000000
  -30.82256463    0.0000000000
  -30.78399505    0.0000000000
  -30.74542547    0.0000000000
  -30.70685590    0.0000000000
  -30.66828632    0.0000000000
  -30.62971674    0.0000000000
  -30.59114716    0.0000000000
  -30.55257758    0.0000000000
  -30.51400800    0.0000000000
  -30.47543843    0.0000000000
  -30.43686885    0.0000000000
  -30.39829927    0.0000000000
  -30.35972969    0.0000000000
  -30.32116011    0.0000000000
  -30.28259054    0.0000000000
  -30.24402096    0.0000000000
  -30.20545138    0.0000000000
  -30.16688180    0.0000000000
  -30.12831222    0.0000000000
  -30.08974265    0.0000000000
  -30.05117307    0.0000000000
  -30.01260349    0.0000000000
  -29.97403391    0.0000000000
  -29.93546433    0.0000000000
  -29.89689476    0.0000000000
  -29.85832518    0.0000000000
  -29.81975560    0.0000000000
  -29.78118602    0.0000000000
  -29.74261644    0.0000000000
  -29.70404687    0.0000000000
  -29.66547729    0.0000000000
  -29.62690771    0.0000000000
  -29.58833813    0.0000000000
  -29.54976855    0.0000000000
  -29.51119897    0.0000000000
  -29.47262940    0.0000000000
  -29.43405982    0.0000000000
  -29.39549024    0.0000000000
  -29.35692066    0.0000000000
  -29.31835108    0.0000000000
  -29.27978151    0.0000000000
  -29.24121193    0.0000000000
  -29.20264235    0.0000000000
  -29.16407277    0.0000000000
  -29.12550319    0.0000000000
  -29.08693362    0.0000000000
  -29.04836404    0.0000000000
  -29.00979446    0.0000000000
  -28.97122488    0.0000000000
  -28.93265530    0.0000000000
  -28.89408573    0.0000000000
  -28.85551615    0.0000000000
  -28.81694657    0.0000000000
  -28.77837699    0.0000000000
  -28.73980741    0.0000000000
  -28.70123784    0.0000000000
  -28.66266826    0.0000000000
  -28.62409868    0.0000000000
  -28.58552910    0.0000000000
  -28.54695952    0.0000000000
  -28.50838994    0.0000000000
  -28.46982037    0.0000000000
  -28.43125079    0.0000000000
  -28.39268121    0.0000000000
  -28.35411163    0.0000000000
  -28.31554205    0.0000000000
  -28.27697248    0.0000000000
  -28.23840290    0.0000000000
  -28.19983332    0.0000000000
  -28.16126374    0.0000000000
  -28.12269416    0.0000000000
  -28.08412459    0.0000000000
  -28.04555501    0.0000000000
  -28.00698543    0.0000000000
  -27.96841585    0.0000000000
  -27.92984627    0.0000000000
  -27.89127670    0.0000000000
  -27.85270712    0.0000000000
  -27.81413754    0.0000000000
  -27.77556796    0.0000000000
  -27.73699838    0.0000000000
  -27.69842881    0.0000000000
  -27.65985923    0.0000000000
  -27.62128965    0.0000000000
  -27.58272007    0.0000000000
  -27.54415049    0.0000000000
  -27.50558091    0.0000000000
  -27.46701134    0.0000000000
  -27.42844176    0.0000000000
  -27.38987218    0.0000000000
  -27.35130260    0.0000000000
  -27.31273302    0.0000000000
  -27.27416345    0.0000000000
  -27.23559387    0.0000000000
  -27.19702429    0.0000000000
  -27.15845471    0.0000000000
  -27.11988513    0.0000000000
  -27.08131556    0.0000000000
  -27.04274598    0.0000000000
  -27.00417640    0.0000000000
  -26.96560682    0.0000000000
  -26.92703724    0.0000000000
  -26.88846767    0.0000000000
  -26.84989809    0.0000000000
  -26.81132851    0.0000000000
  -26.77275893    0.0000000000
  -26.73418935    0.0000000000
  -26.69561978    0.0000000000
  -26.65705020    0.0000000000
  -26.61848062    0.0000000000
  -26.57991104    0.0000000000
  -26.54134146    0.0000000000
  -26.50277189    0.0000000000
  -26.46420231    0.0000000000
  -26.42563273    0.0000000000
  -26.38706315    0.0000000000
  -26.34849357    0.0000000000
  -26.30992399    0.0000000000
  -26.27135442    0.0000000000
  -26.23278484    0.0000000000
  -26.19421526    0.0000000000
  -26.15564568    0.0000000000
  -26.11707610    0.0000000000
  -26.07850653    0.0000000000
  -26.03993695    0.0000000000
  -26.00136737    0.0000000000
  -25.96279779    0.0000000000
  -25.92422821    0.0000000000
  -25.88565864    0.0000000000
  -25.84708906    0.0000000000
  -25.80851948    0.0000000000
  -25.76994990    0.0000000000
  -25.73138032    0.0000000000
  -25.69281075    0.0000000000
  -25.65424117    0.0000000000
  -25.61567159    0.0000000000
  -25.57710201    0.0000000000
  -25.53853243    0.0000000000
  -25.49996286    0.0000000000
  -25.46139328    0.0000000000
  -25.42282370    0.0000000000
  -25.38425412    0.0000000000
  -25.34568454    0.0000000000
  -25.30711496    0.0000000000
  -25.26854539    0.0000000000
  -25.22997581    0.0000000000
  -25.19140623    0.0000000000
  -25.15283665    0.0000000000
  -25.11426707    0.0000000000
  -25.07569750    0.0000000000
  -25.03712792    0.0000000000
  -24.99855834    0.0000000000
  -24.95998876    0.0000000000
  -24.92141918    0.0000000000
  -24.88284961    0.0000000000
  -24.84428003    0.0000000000
  -24.80571045    0.0000000000
  -24.76714087    0.0000000000
  -24.72857129    0.0000000000
  -24.69000172    0.0000000000
  -24.65143214    0.0000000000
  -24.61286256    0.0000000000
  -24.57429298    0.0000000000
  -24.53572340    0.0000000000
  -24.49715383    0.0000000000
  -24.45858425    0.0000000000
  -24.42001467    0.0000000000
  -24.38144509    0.0000000000
  -24.34287551    0.0000000000
  -24.30430593    0.0000000000
  -24.26573636    0.0000000000
  -24.22716678    0.0000000000
  -24.18859720    0.0000000000
  -24.15002762    0.0000000000
  -24.11145804    0.0000000000
  -24.07288847    0.0000000000
  -24.03431889    0.0000000000
  -23.99574931    0.0000000000
  -23.95717973    0.0000000000
  -23.91861015    0.0000000000
  -23.88004058    0.0000000000
  -23.84147100    0.0000000000
  -23.80290142    0.0000000000
  -23.76433184    0.0000000000
  -23.72576226    0.0000000000
  -23.68719269    0.0000000000
  -23.64862311    0.0000000000
  -23.61005353    0.0000000000
  -23.57148395    0.0000000000
  -23.53291437    0.0000000000
  -23.49434480    0.0000000000
  -23.45577522    0.0000000000
  -23.41720564    0.0000000000
  -23.37863606    0.0000000000
  -23.34006648    0.0000000000
  -23.30149691    0.0000000000
  -23.26292733    0.0000000000
  -23.22435775    0.0000000000
  -23.18578817    0.0000000000
  -23.14721859    0.0000000000
  -23.10864901    0.0000000000
  -23.07007944    0.0000000000
  -23.03150986    0.0000000000
  -22.99294028    0.0000000000
  -22.95437070    0.0000000000
  -22.91580112    0.0000000000
  -22.87723155    0.0000000000
